m1,m2,th,v0,lHS,lS,mu3,Tc,xi_c,status,error_msg
125.2,60.0,0.0,246.22,0.0001,0.027230023869659743,0.0,158.8506328792833,0.15106144563854002,success,
125.2,60.0,0.0,246.22,0.0001,0.055980711976792,0.0,158.85063994486612,0.15108968973874523,success,
125.2,60.0,0.0,246.22,0.0001,0.11508767412137053,0.0,158.85065374820076,0.1509151602601633,success,
125.2,60.0,0.0,246.22,0.0001,0.2366024344270193,0.0,158.85068014202736,0.1511035723357427,success,
125.2,60.0,0.0,246.22,0.0001,0.48641796268951587,0.0,158.85072705909937,0.15094306709187888,success,
125.2,60.0,0.0,246.22,0.0001,1.0,0.0,158.8508040540907,0.15092538690121346,success,
125.2,60.0,0.0,246.22,0.001,0.026818542241718632,0.0,158.84590071979022,0.15091295081163397,success,
125.2,60.0,0.0,246.22,0.001,0.055302929077816566,0.0,158.84597076614352,0.15090452391178544,success,
125.2,60.0,0.0,246.22,0.001,0.11404102195489106,0.0,158.8461091776153,0.15094086996097736,success,
125.2,60.0,0.0,246.22,0.001,0.23516574809656388,0.0,158.8463733354747,0.15037585314679014,success,
125.2,60.0,0.0,246.22,0.001,0.4849389117162736,0.0,158.84684411946392,0.150961373017852,success,
125.2,60.0,0.0,246.22,0.001,1.0,0.0,158.84761809787426,0.15092054469958316,success,
125.2,60.0,0.0,246.22,0.01,0.02287602613176293,0.0,158.79777821411054,0.15081422250849277,success,
125.2,60.0,0.0,246.22,0.01,0.04869725341730329,0.0,158.79844089004993,0.15075539342067223,success,
125.2,60.0,0.0,246.22,0.01,0.10366409256266682,0.0,158.79979341817014,0.15085414292088753,success,
125.2,60.0,0.0,246.22,0.01,0.2206745418422871,0.0,158.80244714810453,0.1508249046707177,success,
125.2,60.0,0.0,246.22,0.01,0.4697600896652323,0.0,158.80732387713098,0.15081391494780264,success,
125.2,60.0,0.0,246.22,0.01,1.0,0.0,158.81548274157544,0.1508472150985591,success,
125.2,60.0,0.0,246.22,0.1,0.0006808819777448259,0.0,158.20237995355075,0.15039911918535345,success,
125.2,60.0,0.0,246.22,0.1,0.0029272342044465334,0.0,158.20355358146466,0.15045898773127064,success,
125.2,60.0,0.0,246.22,0.1,0.012584706847525093,0.0,158.20849941744723,0.1502888275290594,success,
